@relation repo_popular

@attribute fork numeric
@attribute size numeric
@attribute sum numeric
@attribute avg numeric
@attribute weight numeric

@data
1,87,1461,730.5,1163.31
0,80,34,34,34
0,84,34,34,34
2,720,3059,191.188,340.687
5,159,6636,6636,6636
0,196,1869,1869,1869
2,1916,19265,19265,19265
2,393,39,39,39
0,747,1957,139.786,188.895
1,856,8904,342.462,659.446
4,142,2421,403.5,699.897
11,137,2048,1024,1984.45
5,689,2353,470.6,213.224
33,2876,10929,10929,10929
1,3691,338,169,168.091
15,330,10929,10929,10929
2,592,5139,5139,5139
13,9203,1695,1695,1695
0,193,1695,1695,1695
2,81,6657,3328.5,3328.5
23,158,4705,784.167,2169.48
7,467,1857,464.25,1218.58
1,238,45010,3462.31,4828.53
3,4756,1154,288.5,59.3587
1,688,3134,3134,3134
0,101,2793,2793,2793
10,330,5795,827.857,2452.22
3,99,6260,6260,6260
2,125,1812,906,691.667
4,456,1605,802.5,802.5
0,196,2655,2655,2655
0,96,3298,3298,3298
0,80,1285,1285,1285
2,80,2279,2279,2279
4,86,2035,2035,2035
295,4215,11719,174.91,6971.25
1,1248,43227,3325.15,6508.25
30,1778,13604,716,1905.46
1,103,1340,1340,1340
0,92,1,1,1
1,80,66,66,66
0,99,0,0,0
22,200,19265,19265,19265
8,82152,6260,6260,6260
222,2409,25026,379.182,3926.09
1,83,10929,10929,10929
1,176,1495,1495,1495
1,2661,11,11,11
124,14003,30069,254.822,1776.92
5,5075,1666,1666,1666
0,76,1340,1340,1340
1,1604,5770,2885,5047
7,751,171,85.5,107
2,175,1483,741.5,985.667
0,1016,8598,199.953,1287.07
2,168,247,247,247
24,328,1028,342.667,716.55
0,4172,0,0,0
73,1891,23179,1053.59,16553.8
2,168,1285,1285,1285
13,337,2223,741,1110.4
0,574,6126,360.353,557.643
1,92,2655,2655,2655
2,449,3481,193.389,465.508
0,14154,3022,232.462,523.248
0,15736,14125,672.619,557.669
0,14713,2796,186.4,476.507
5,381,6636,6636,6636
1,124,877,877,877
1,96,2793,2793,2793
1,124,2593,2593,2593
4,2698,6694,3347,3457.55
499,355,19308,9654,19012.1
0,196,0,0,0
0,11308,87,87,87
3,85,7326,7326,7326
2,110,288,144,144
3,160,11394,2848.5,5724.72
1,100,1565,1565,1565
3,841,1742,580.667,168.275
11,441,286,57.2,90.9375
3,136,41,41,41
105,1133,10919,363.967,1332.33
10,99,2793,2793,2793
0,925,592,59.2,104.444
21,2649,15387,15387,15387
1,16772,1114,85.6923,157.069
0,3087,0,0,0
3,134,11,5.5,5.46154
2,475,7326,7326,7326
0,23591,2376,198,193.255
0,18,2112,2112,2112
2,76,15387,15387,15387
5,107,19574,2796.29,1935.15
118,922,8543,219.051,1750.42
3,113,102,102,102
0,8541,4990,237.619,219.551
8,683,1930,275.714,504.855
8,15879,49061,188.696,976.382
3,87,170,85,145.545
4,9620,921,92.1,25.161
1,271,3272,181.778,439.995
2,21888,347,26.6923,166.283
1,944,4131,275.4,1456.62
4,88,2731,910.333,910.333
1,80,54,54,54
1,141,25655,3665,12994.8
8,8044,0,0,0
7,162,587,587,587
0,580,56218,3747.87,5885.67
4,38434,6260,6260,6260
0,126,0,0,0
